 ,Label,Area,Mean,Min,Max,X,Y,
479,,6.087E-5,255,255,255,5.200,0.773,
480,,4.058E-5,255,255,255,5.432,0.773,
481,,4.058E-5,255,255,255,7.045,0.775,
482,,4.058E-5,255,255,255,1.959,0.779,
483,,2.029E-5,255,255,255,2.376,0.777,
484,,4.058E-5,255,255,255,7.059,0.784,
485,,4.058E-5,255,255,255,1.946,0.788,
486,,4.058E-5,255,255,255,2.527,0.786,
487,,4.058E-5,255,255,255,5.829,0.786,
488,,4.058E-5,255,255,255,2.559,0.791,
489,,4.058E-5,255,255,255,6.063,0.791,
490,,4.058E-5,255,255,255,7.072,0.793,
491,,6.087E-5,255,255,255,1.930,0.800,
492,,2.029E-5,255,255,255,2.345,0.795,
493,,2.029E-5,255,255,255,2.133,0.800,
494,,6.087E-5,255,255,255,7.088,0.804,
495,,4.058E-5,255,255,255,1.914,0.811,
496,,2.029E-5,255,255,255,2.052,0.813,
497,,4.058E-5,255,255,255,7.104,0.815,
498,,4.058E-5,255,255,255,1.901,0.820,
499,,4.058E-5,255,255,255,4.883,0.822,
500,,4.058E-5,255,255,255,5.423,0.822,
501,,6.087E-5,255,255,255,6.223,0.822,
502,,4.058E-5,255,255,255,7.117,0.824,
503,,6.087E-5,255,255,255,1.885,0.831,
504,,4.058E-5,255,255,255,2.446,0.831,
505,,4.058E-5,255,255,255,6.966,0.833,
506,,6.087E-5,255,255,255,7.133,0.836,
507,,6.087E-5,255,255,255,1.867,0.845,
508,,4.058E-5,255,255,255,3.721,0.840,
509,,2.029E-5,255,255,255,6.867,0.845,
510,,4.058E-5,255,255,255,6.894,0.847,
511,,6.087E-5,255,255,255,7.151,0.849,
512,,8.116E-5,255,255,255,5.392,0.851,
513,,4.058E-5,255,255,255,6.347,0.849,
514,,1.015E-4,255,255,255,6.380,0.852,
515,,4.058E-5,255,255,255,1.851,0.856,
516,,4.058E-5,255,255,255,3.018,0.854,
517,,2.029E-5,255,255,255,7.101,0.854,
518,,8.116E-5,255,255,255,6.356,0.860,
519,,4.058E-5,255,255,255,7.167,0.860,
520,,6.087E-5,255,255,255,1.836,0.867,
521,,4.058E-5,255,255,255,6.428,0.863,
522,,2.029E-5,255,255,255,6.885,0.863,
523,,2.029E-5,255,255,255,6.966,0.863,
524,,6.087E-5,255,255,255,7.182,0.872,
525,,8.116E-5,255,255,255,2.869,0.874,
526,,2.029E-5,255,255,255,6.921,0.872,
527,,2.029E-5,255,255,255,6.935,0.872,
528,,6.087E-5,255,255,255,1.818,0.881,
529,,1.015E-4,255,255,255,2.682,0.876,
530,,4.058E-5,255,255,255,5.829,0.876,
531,,4.058E-5,255,255,255,6.378,0.876,
532,,4.058E-5,255,255,255,2.122,0.881,
533,,6.087E-5,255,255,255,7.200,0.885,
534,,6.087E-5,255,255,255,1.800,0.894,
535,,8.116E-5,255,255,255,6.500,0.892,
536,,6.087E-5,255,255,255,7.218,0.899,
537,,4.058E-5,255,255,255,6.928,0.901,
538,,6.087E-5,255,255,255,1.782,0.908,
539,,2.029E-5,255,255,255,6.849,0.903,
540,,2.029E-5,255,255,255,6.894,0.903,
541,,2.029E-5,255,255,255,6.975,0.903,
542,,4.058E-5,255,255,255,7.099,0.903,
543,,6.087E-5,255,255,255,7.236,0.912,
544,,6.087E-5,255,255,255,1.764,0.921,
545,,8.116E-5,255,255,255,7.257,0.928,
546,,5.478E-4,255,255,255,7.027,0.942,
547,,8.116E-5,255,255,255,1.743,0.937,
548,,4.058E-5,255,255,255,4.045,0.935,
549,,2.029E-5,255,255,255,1.777,0.939,
550,,6.087E-5,255,255,255,7.277,0.944,
551,,4.058E-5,255,255,255,5.023,0.944,
552,,7.102E-4,255,255,255,5.730,0.957,
553,,8.116E-5,255,255,255,1.721,0.955,
554,,2.029E-5,255,255,255,1.881,0.948,
555,,4.058E-5,255,255,255,5.185,0.948,
