 ,Area,Mean,Min,Max,X,Y
3901,2.029E-5,255,255,255,2.196,7.462
3902,2.029E-5,255,255,255,4.786,7.462
3903,2.029E-5,255,255,255,1.836,7.466
3904,2.029E-5,255,255,255,3.484,7.466
3905,2.029E-5,255,255,255,4.273,7.466
3906,2.029E-5,255,255,255,4.872,7.466
3907,2.029E-5,255,255,255,6.444,7.471
3908,2.029E-5,255,255,255,7.074,7.471
3909,2.029E-5,255,255,255,7.083,7.475
3910,2.029E-5,255,255,255,7.655,7.475
3911,8.116E-5,255,255,255,1.620,7.481
3912,2.029E-5,255,255,255,3.336,7.480
3913,4.058E-5,255,255,255,7.023,7.484
3914,2.029E-5,255,255,255,7.079,7.484
3915,2.029E-5,255,255,255,7.556,7.484
3916,2.029E-5,255,255,255,1.173,7.489
3917,2.029E-5,255,255,255,6.448,7.489
3918,4.058E-5,255,255,255,6.498,7.491
3919,2.029E-5,255,255,255,1.218,7.493
3920,2.029E-5,255,255,255,3.687,7.493
3921,6.087E-5,255,255,255,4.448,7.493
3922,4.058E-5,255,255,255,6.653,7.493
3923,2.029E-5,255,255,255,7.079,7.493
3924,2.029E-5,255,255,255,1.890,7.498
3925,2.029E-5,255,255,255,3.345,7.498
3926,6.087E-5,255,255,255,3.370,7.502
3927,4.058E-5,255,255,255,4.495,7.498
3928,4.058E-5,255,255,255,5.286,7.500
3929,2.029E-5,255,255,255,6.200,7.498
3930,0.006,255,255,255,6.697,7.571
3931,2.029E-5,255,255,255,6.714,7.498
3932,2.029E-5,255,255,255,7.552,7.498
3933,2.029E-5,255,255,255,4.101,7.502
3934,1.015E-4,255,255,255,4.783,7.506
3935,2.029E-5,255,255,255,3.214,7.507
3936,2.029E-5,255,255,255,3.745,7.507
3937,2.029E-5,255,255,255,5.002,7.507
3938,2.029E-5,255,255,255,6.196,7.507
3939,2.029E-5,255,255,255,7.083,7.511
3940,1.623E-4,255,255,255,6.663,7.523
3941,2.029E-5,255,255,255,1.795,7.520
3942,4.058E-5,255,255,255,2.957,7.523
3943,2.029E-5,255,255,255,5.322,7.520
3944,4.058E-5,255,255,255,3.225,7.525
3945,2.029E-5,255,255,255,3.236,7.525
3946,2.029E-5,255,255,255,3.354,7.525
3947,2.029E-5,255,255,255,3.394,7.525
3948,2.029E-5,255,255,255,6.957,7.525
3949,2.029E-5,255,255,255,7.079,7.525
3950,2.029E-5,255,255,255,7.556,7.525
3951,6.087E-5,255,255,255,6.627,7.532
3952,2.029E-5,255,255,255,7.065,7.534
3953,2.029E-5,255,255,255,7.119,7.534
3954,2.029E-5,255,255,255,1.525,7.538
3955,8.116E-5,255,255,255,6.658,7.541
3956,2.029E-5,255,255,255,3.092,7.543
3957,2.029E-5,255,255,255,2.223,7.547
3958,4.058E-5,255,255,255,6.640,7.559
3959,2.029E-5,255,255,255,1.565,7.561
3960,4.058E-5,255,255,255,1.716,7.563
3961,8.116E-5,255,255,255,7.577,7.563
3962,4.058E-5,255,255,255,4.455,7.565
3963,2.029E-5,255,255,255,4.953,7.565
3964,2.029E-5,255,255,255,4.782,7.570
3965,2.029E-5,255,255,255,4.813,7.570
3966,2.029E-5,255,255,255,6.957,7.570
3967,2.029E-5,255,255,255,1.876,7.574
3968,4.058E-5,255,255,255,3.212,7.574
3969,2.029E-5,255,255,255,4.804,7.579
3970,2.029E-5,255,255,255,5.331,7.579
3971,2.029E-5,255,255,255,6.412,7.579
3972,2.029E-5,255,255,255,1.489,7.588
3973,2.029E-5,255,255,255,2.020,7.588
3974,2.029E-5,255,255,255,3.579,7.588
3975,2.029E-5,255,255,255,4.786,7.588
3976,2.029E-5,255,255,255,5.282,7.588
3977,2.029E-5,255,255,255,3.543,7.592
3978,8.116E-5,255,255,255,6.189,7.597
3979,8.116E-5,255,255,255,3.582,7.601
3980,2.029E-5,255,255,255,3.606,7.597
3981,2.029E-5,255,255,255,5.002,7.597
3982,2.029E-5,255,255,255,1.457,7.601
3983,6.087E-5,255,255,255,2.232,7.610
3984,6.087E-5,255,255,255,5.906,7.607
3985,2.029E-5,255,255,255,6.520,7.606
3986,2.029E-5,255,255,255,2.282,7.610
3987,2.029E-5,255,255,255,4.664,7.610
3988,1.015E-4,255,255,255,1.500,7.627
